SppID,Family,Genus,Species,Species.code
42552216,ACANTHACEAE,Aphelandra,Aphelandra castaneifolia,Aphecast
42552104,ACANTHACEAE,Suessenguthia,Suessenguthia multisetosa,Suesmult
42552105,ACANTHACEAE,Suessenguthia,Suessenguthia wenzelii,Sueswenz
50009,ACHARIACEAE,Carpotroche,Carpotroche longifolia,Carplong
50014,ACHARIACEAE,Lindackeria,Lindackeria paludosa,Lindpalu
50018,ACHARIACEAE,Mayna,Mayna odorata,Maynodor
42551050,ACHATOCARPACEAE,Achatocarpus,Achatocarpus microcarpus,Achamicr
50020,ACHATOCARPACEAE,Achatocarpus,Achatocarpus nigricans,Achanigr
50021,ACHATOCARPACEAE,Achatocarpus,Achatocarpus praecox,Achaprae
50022,ACTINIDIACEAE,Saurauia,Saurauia chaparensis,Saurchap
42547887,ACTINIDIACEAE,Saurauia,Saurauia glabra,Saurglab
42551750,ACTINIDIACEAE,Saurauaia,Saurauia natalicia,Saurnata
50023,ACTINIDIACEAE,Saurauia,Saurauia peruviana,Saurperu
42547888,ACTINIDIACEAE,Saurauia,Saurauia rusbyi,Saurrusb
42547779,ACTINIDIACEAE,Saurauia,Saurauia spectabilis,Saurspec
50025,ADOXACEAE,Sambucus,Sambucus nigra,Sambnigr
50026,ADOXACEAE,Viburnum,Viburnum ayavacense,Vibuayav
42547889,ADOXACEAE,Viburnum,Viburnum hallii,Vibuhall
50027,ADOXACEAE,Viburnum,Viburnum seemenii,Vibuseem
42547894,ADOXACEAE,Viburnum,Viburnum triphyllum,Vibutrip
42547895,ADOXACEAE,Viburnum,Viburnum witteanum,Vibuwitt
42547194,ALZATEACEAE,Alzatea,Alzatea verticillata,Alzavert
42552217,AMARANTHACEAE,Pedersenia,Pedersenia cardenasii,Pedecard
50029,ANACARDIACEAE,Anacardium,Anacardium giganteum,Anacgiga
50033,ANACARDIACEAE,Anacardium,Anacardium spruceanum,Anacspru
50037,ANACARDIACEAE,Astronium,Astronium fraxinifolium,Astrfrax
50039,ANACARDIACEAE,Astronium,Astronium graveolens,Astrgrav
50040,ANACARDIACEAE,Astronium,Astronium lecointei,Astrleco
50044,ANACARDIACEAE,Cardenasiodendron,Cardenasiodendron brachypterum,Cardbrac
50048,ANACARDIACEAE,Lithrea,Lithrea molleoides,Lithmoll
50050,ANACARDIACEAE,Loxopterygium,Loxopterygium grisebachii,Loxogris
42547199,ANACARDIACEAE,Mauria,Mauria heterophylla,Maurhete
42547903,ANACARDIACEAE,Mauria,Mauria subserrata,Maursubs
50051,ANACARDIACEAE,Mauria,Mauria thaumatophylla,Maurthau
50053,ANACARDIACEAE,Myracrodruon,Myracrodruon urundeuva,Myraurun
